split,scene_class,sha256,source_path,source_manifest_path,dataset_path
test,dry_road,299d18c3bf9886e45528ebb501e05b3f36b5131873b050d0f64dfcf07ac96945,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\008_downloads_dry_dry_raod_23.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/008_downloads_dry_dry_raod_23.jpg,training_data/scene_classifier/test/dry_road/0011_008_downloads_dry_dry_raod_23.jpg
train,dry_road,2c4c5773c971df249318c7e07137a6e59d0d4f9422a78f3ea184ab747f02fdb2,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\009_downloads_dry_dry_raod_19.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/009_downloads_dry_dry_raod_19.jpg,training_data/scene_classifier/train/dry_road/0012_009_downloads_dry_dry_raod_19.jpg
train,dry_road,3033726ece198b8c3ae66c27be569080c507c3e802e1d973a6cd0feb2cf93fef,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\010_downloads_dry_dry_raod_45.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/010_downloads_dry_dry_raod_45.jpg,training_data/scene_classifier/train/dry_road/0013_010_downloads_dry_dry_raod_45.jpg
train,dry_road,332b65a26a1b53430ac7bf92edeb6de0e4d437adf513b2b316f093d1b01068f8,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\011_downloads_dry_dry_raod_04.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/011_downloads_dry_dry_raod_04.jpg,training_data/scene_classifier/train/dry_road/0014_011_downloads_dry_dry_raod_04.jpg
train,dry_road,3a82c0e80480c656c1b916632c286fff96defefc2816a6aab2bb4bfbf89f7cfd,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\012_downloads_dry_dry_raod_22.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/012_downloads_dry_dry_raod_22.jpg,training_data/scene_classifier/train/dry_road/0015_012_downloads_dry_dry_raod_22.jpg
train,dry_road,3d2644240b8cea3e6e114a0464642eee5051b92bab2dfb87f26847f5c7cec77a,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\013_downloads_dry_dry_raod_41.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/013_downloads_dry_dry_raod_41.jpg,training_data/scene_classifier/train/dry_road/0016_013_downloads_dry_dry_raod_41.jpg
test,dry_road,4e4d9c34be67c426c225edf14c75f132e0f13a78584ee0abcf19947001e1f8e4,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\014_downloads_dry_dry_raod_37.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/014_downloads_dry_dry_raod_37.jpg,training_data/scene_classifier/test/dry_road/0017_014_downloads_dry_dry_raod_37.jpg
validation,dry_road,52dec39705ad919687f38afcf1d9797b116a3db3024fcb200c3a0edca0422c29,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\008_dry_human_dry_sand.jpg,training_data/road_scene_classifier/train/dry_road/008_dry_human_dry_sand.jpg,training_data/scene_classifier/validation/dry_road/0018_008_dry_human_dry_sand.jpg
train,dry_road,53ec46be8e8887700afa1cc006f3ef9b5d89672a24757596ee562dcf3d15c19b,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\015_downloads_dry_dry_raod_15.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/015_downloads_dry_dry_raod_15.jpg,training_data/scene_classifier/train/dry_road/0019_015_downloads_dry_dry_raod_15.jpg
test,dry_road,5f2362e0ea96a517c26bcc2101b4c935907c48527994a014fa9fdec62b447295,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\016_downloads_dry_dry_raod_21.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/016_downloads_dry_dry_raod_21.jpg,training_data/scene_classifier/test/dry_road/0020_016_downloads_dry_dry_raod_21.jpg
train,dry_road,6115a5bac040f43d43223d6c8bceaf6d70e03986e0bc144030bc5551464e1d03,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\017_downloads_dry_dry_raod_26.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/017_downloads_dry_dry_raod_26.jpg,training_data/scene_classifier/train/dry_road/0021_017_downloads_dry_dry_raod_26.jpg
test,dry_road,66bbf4971465da574cfecb9aa7af81345d11b4ef5d88a8ccbe74353818fade82,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\001_dry_150525_r26543.webp,training_data/road_scene_classifier/train/dry_road/001_dry_150525_r26543.webp,training_data/scene_classifier/test/dry_road/0022_001_dry_150525_r26543.webp
train,dry_road,679259e4dc988305ef9d102dcf2d67cb6360e887cb79da76f83d510c2d3ee026,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\018_downloads_dry_dry_raod_13.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/018_downloads_dry_dry_raod_13.jpg,training_data/scene_classifier/train/dry_road/0023_018_downloads_dry_dry_raod_13.jpg
validation,dry_road,680f1000bd5a30e4995d0b49132914003dfcb3771dd58dfc004fabdb376836f5,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\019_downloads_dry_dry_raod_38.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/019_downloads_dry_dry_raod_38.jpg,training_data/scene_classifier/validation/dry_road/0024_019_downloads_dry_dry_raod_38.jpg
train,dry_road,71a488e6fe8c33faccc597fd42e91cd60d5285a769126fc1bb269b6bc4113955,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\020_downloads_dry_dry_raod_17.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/020_downloads_dry_dry_raod_17.jpg,training_data/scene_classifier/train/dry_road/0025_020_downloads_dry_dry_raod_17.jpg
train,dry_road,7249fc5bac974ef4626b8c900faf238de9ad759954c725d5ca4f9d508a195c13,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\007_dry_human_dry_field.jpg,training_data/road_scene_classifier/train/dry_road/007_dry_human_dry_field.jpg,training_data/scene_classifier/train/dry_road/0026_007_dry_human_dry_field.jpg
test,dry_road,7513305ca4c4f69c7bd88f83213c01b4986faca9be68c0b3ffe4a639dbd6be29,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\021_downloads_dry_dry_raod_31.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/021_downloads_dry_dry_raod_31.jpg,training_data/scene_classifier/test/dry_road/0027_021_downloads_dry_dry_raod_31.jpg
train,dry_road,778a9c30de659d4d1dcfef5d1fc3116ef3e7c181ca74bc7ec0e77e29449cc1b4,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\022_downloads_dry_dry_raod_03.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/022_downloads_dry_dry_raod_03.jpg,training_data/scene_classifier/train/dry_road/0028_022_downloads_dry_dry_raod_03.jpg
train,dry_road,7a6f45ffb7ca61fb0e5f5dc201ed5231e99532ddde8053923e4b15aa06529f03,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\023_downloads_dry_dry_raod_35.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/023_downloads_dry_dry_raod_35.jpg,training_data/scene_classifier/train/dry_road/0029_023_downloads_dry_dry_raod_35.jpg
train,dry_road,7acc6fa7bf2e0463c543a181226290ceab17696bd70ae1da1f12aa5f3c14c7dc,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\012_dry_some-desert-places.webp,training_data/road_scene_classifier/test/dry_road/012_dry_some-desert-places.webp,training_data/scene_classifier/train/dry_road/0030_012_dry_some-desert-places.webp
validation,dry_road,7c9f959414f272fcdfd38ef99219e2ebb74bef5b95a73ad0edcf3aaa48640a6d,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\024_downloads_dry_dry_raod_12.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/024_downloads_dry_dry_raod_12.jpg,training_data/scene_classifier/validation/dry_road/0031_024_downloads_dry_dry_raod_12.jpg
train,dry_road,8055b63e5092627f12edf5b1c542d657b20d6d96459fb5f86e466cf108d9be75,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\011_dry_road_gir.jpg,training_data/road_scene_classifier/test/dry_road/011_dry_road_gir.jpg,training_data/scene_classifier/train/dry_road/0032_011_dry_road_gir.jpg
train,dry_road,81e7cd990f4053b8467b3dd4bd90d3bc7b5714c058d440bdcb2f0d711f5c24ec,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\025_downloads_dry_dry_raod_14.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/025_downloads_dry_dry_raod_14.jpg,training_data/scene_classifier/train/dry_road/0033_025_downloads_dry_dry_raod_14.jpg
train,dry_road,834f579d938a1e820f28f4a75c792714efd2a28287de8a9711ae64507a5f35dd,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\026_downloads_dry_dry_raod_39.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/026_downloads_dry_dry_raod_39.jpg,training_data/scene_classifier/train/dry_road/0034_026_downloads_dry_dry_raod_39.jpg
test,dry_road,8d2c6dc72b7a8a9887e60afe9af4be6057f7ad2fc5f38e5d82a6ad9a86477af1,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\027_downloads_dry_dry_raod_18.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/027_downloads_dry_dry_raod_18.jpg,training_data/scene_classifier/test/dry_road/0035_027_downloads_dry_dry_raod_18.jpg
train,dry_road,916df4d060fe8ad021b7fb43b1bc8a9c665cc83ca14ef0acaf38ecbb193f93b2,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\028_downloads_dry_dry_raod_28.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/028_downloads_dry_dry_raod_28.jpg,training_data/scene_classifier/train/dry_road/0036_028_downloads_dry_dry_raod_28.jpg
train,dry_road,9363bb8db3d02099aa26ed5c5b69012eaf815fb36bc213c230e556da9d529675,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\029_downloads_dry_dry_raod_20.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/029_downloads_dry_dry_raod_20.jpg,training_data/scene_classifier/train/dry_road/0037_029_downloads_dry_dry_raod_20.jpg
train,dry_road,9fa3e017cb20a180d644e848e5f56e0c694e13733f6202f97d38eaceadfd9eb1,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\030_downloads_dry_dry_raod_06.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/030_downloads_dry_dry_raod_06.jpg,training_data/scene_classifier/train/dry_road/0038_030_downloads_dry_dry_raod_06.jpg
train,dry_road,ab7ce5bd782d9dbfae9675bc2c2cbd24563bc596b538f7297e0ff78656a1cc9b,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\003_dry_desert-country.webp,training_data/road_scene_classifier/train/dry_road/003_dry_desert-country.webp,training_data/scene_classifier/train/dry_road/0039_003_dry_desert-country.webp
test,dry_road,acb20b12b833dc6f2073461a9f87641f3f676cc6f9dd469d34f1d2f0033ebe4b,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\031_downloads_dry_dry_raod_29.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/031_downloads_dry_dry_raod_29.jpg,training_data/scene_classifier/test/dry_road/0040_031_downloads_dry_dry_raod_29.jpg
train,dry_road,adcb51fb07c55cabc133fe5e8ac66fd790a1612cbac36227f3268af3b49133d2,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\validation\dry_road\032_downloads_dry_dry_raod_34.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/validation/dry_road/032_downloads_dry_dry_raod_34.jpg,training_data/scene_classifier/train/dry_road/0041_032_downloads_dry_dry_raod_34.jpg
train,dry_road,b0583ef82e8f5f23e596ecbb7814df5175b5df67218178a97d259215e27e8ca1,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\validation\dry_road\033_downloads_dry_dry_raod_36.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/validation/dry_road/033_downloads_dry_dry_raod_36.jpg,training_data/scene_classifier/train/dry_road/0042_033_downloads_dry_dry_raod_36.jpg
test,dry_road,c08ddf51525ef4158a305e527480a58259fa78b8eeb5c5f39ee3d87c3f66b328,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\validation\dry_road\034_downloads_dry_dry_raod_10.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/validation/dry_road/034_downloads_dry_dry_raod_10.jpg,training_data/scene_classifier/test/dry_road/0043_034_downloads_dry_dry_raod_10.jpg
train,dry_road,c92b9cf1fd78893db67e7d9237fc9b8206b4a587a8d0d84b15872089e0284ed4,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\010_atharva_dry road _1.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/010_atharva_dry road _1.jpg,training_data/scene_classifier/train/dry_road/0044_010_atharva_dry road _1.jpg
train,dry_road,c98af6b367073492f509e1a396776fef18d3598c7d4f597b5a6f825d45dd15dc,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\validation\dry_road\035_downloads_dry_dry_raod_30.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/validation/dry_road/035_downloads_dry_dry_raod_30.jpg,training_data/scene_classifier/train/dry_road/0045_035_downloads_dry_dry_raod_30.jpg
test,dry_road,cc954c8c22d1eda34c9e11820c96919460ec7293be0c98d3b18493bc3b1cdaff,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\validation\dry_road\036_downloads_dry_dry_raod_25.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/validation/dry_road/036_downloads_dry_dry_raod_25.jpg,training_data/scene_classifier/test/dry_road/0046_036_downloads_dry_dry_raod_25.jpg
train,dry_road,d33cff7c496eeec3810ff56a4063efb6194c69f9fb5fb1c3e16391544c38185f,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\validation\dry_road\037_downloads_dry_dry_raod_43.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/validation/dry_road/037_downloads_dry_dry_raod_43.jpg,training_data/scene_classifier/train/dry_road/0047_037_downloads_dry_dry_raod_43.jpg
train,dry_road,d4be1ad1c76ce961fdb9c71d96250fce22192142c0f6d2fea76c7477cdbac1b3,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\038_downloads_dry_dry_raod_07.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/test/dry_road/038_downloads_dry_dry_raod_07.jpg,training_data/scene_classifier/train/dry_road/0048_038_downloads_dry_dry_raod_07.jpg
train,dry_road,d5d181e5bcd92af406f68515f4c50739b71364813be8bf9605aa1d3b7b8eaabb,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\013_dry_sunset_road_land.webp,training_data/road_scene_classifier/test/dry_road/013_dry_sunset_road_land.webp,training_data/scene_classifier/train/dry_road/0049_013_dry_sunset_road_land.webp
test,dry_road,d70e27f96cefeb5a7447cb32c402b78b5e11c91906604bd7ad4ce6f6ac0887bf,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\039_downloads_dry_dry_raod_05.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/test/dry_road/039_downloads_dry_dry_raod_05.jpg,training_data/scene_classifier/test/dry_road/0050_039_downloads_dry_dry_raod_05.jpg
train,dry_road,d74cf0a35cc10cefb04aeab5ea6d606084c3ed449c265ae9850c7349de46d0d1,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\040_downloads_dry_dry_raod_40.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/test/dry_road/040_downloads_dry_dry_raod_40.jpg,training_data/scene_classifier/train/dry_road/0051_040_downloads_dry_dry_raod_40.jpg
test,dry_road,d9bc44f2f26904802772bfa147f60c679d38e5bfb66899f07e439b1e86c5bd58,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\041_downloads_dry_dry_raod_44.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/test/dry_road/041_downloads_dry_dry_raod_44.jpg,training_data/scene_classifier/test/dry_road/0052_041_downloads_dry_dry_raod_44.jpg
test,dry_road,deb0b275740a6dc862fdde0fceade38de6a9029de92bca64cf403b4b610486e0,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\042_downloads_dry_dry_raod_02.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/test/dry_road/042_downloads_dry_dry_raod_02.jpg,training_data/scene_classifier/test/dry_road/0053_042_downloads_dry_dry_raod_02.jpg
test,dry_road,e3962f9f273435edff3b8fbe70d54183a38b5ceb3f62bc1a336bded56714ddcf,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\test\dry_road\043_downloads_dry_dry_raod_42.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/test/dry_road/043_downloads_dry_dry_raod_42.jpg,training_data/scene_classifier/test/dry_road/0054_043_downloads_dry_dry_raod_42.jpg
test,dry_road,ea1f9aa5fc8dab5fe5f17c042b9d6f708e9b54e72b902268c3627c828bd47cc5,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\009_dry_landscape-view-lonely-dead-tree-260nw-1705648108.webp,training_data/road_scene_classifier/train/dry_road/009_dry_landscape-view-lonely-dead-tree-260nw-1705648108.webp,training_data/scene_classifier/test/dry_road/0055_009_dry_landscape-view-lonely-dead-tree-260nw-1705648108.webp
