"split","scene_class","source_path","dataset_path"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _10.jpg","training_data\road_scene_classifier\train\wet_road\002_wet road _10.jpg"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _11.jpg","training_data\road_scene_classifier\train\wet_road\003_wet road _11.jpg"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _12.jpg","training_data\road_scene_classifier\train\wet_road\004_wet road _12.jpg"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _2.jpg","training_data\road_scene_classifier\train\wet_road\005_wet road _2.jpg"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _3.jpg","training_data\road_scene_classifier\train\wet_road\006_wet road _3.jpg"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _4.jpg","training_data\road_scene_classifier\train\wet_road\007_wet road _4.jpg"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _5.jpg","training_data\road_scene_classifier\train\wet_road\008_wet road _5.jpg"
"validation","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _6.jpg","training_data\road_scene_classifier\validation\wet_road\009_wet road _6.jpg"
"test","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _7.jpg","training_data\road_scene_classifier\test\wet_road\010_wet road _7.jpg"
"test","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _8.jpg","training_data\road_scene_classifier\test\wet_road\011_wet road _8.jpg"
"test","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _9.jpg","training_data\road_scene_classifier\test\wet_road\012_wet road _9.jpg"
"train","shallow_flood","training_data\images\10.00cm.jpg","training_data\road_scene_classifier\train\shallow_flood\001_10.00cm.jpg"
"train","shallow_flood","training_data\images\10.0cm.jpg","training_data\road_scene_classifier\train\shallow_flood\002_10.0cm.jpg"
"train","shallow_flood","training_data\images\10.0cm_1.jpg","training_data\road_scene_classifier\train\shallow_flood\003_10.0cm_1.jpg"
"train","shallow_flood","training_data\images\10cm.jpg","training_data\road_scene_classifier\train\shallow_flood\004_10cm.jpg"
"train","shallow_flood","training_data\images\10cm_1.jpg","training_data\road_scene_classifier\train\shallow_flood\005_10cm_1.jpg"
"train","shallow_flood","training_data\images\13cm.jpg","training_data\road_scene_classifier\train\shallow_flood\006_13cm.jpg"
"train","shallow_flood","training_data\images\15.00cm.jpg","training_data\road_scene_classifier\train\shallow_flood\007_15.00cm.jpg"
"train","shallow_flood","training_data\images\15.00cm.png","training_data\road_scene_classifier\train\shallow_flood\008_15.00cm.png"
"train","shallow_flood","training_data\images\15.0cm.jpg","training_data\road_scene_classifier\train\shallow_flood\009_15.0cm.jpg"
"train","shallow_flood","training_data\images\15.0cm.png","training_data\road_scene_classifier\train\shallow_flood\010_15.0cm.png"
"train","shallow_flood","training_data\images\15.0cm_1.jpg","training_data\road_scene_classifier\train\shallow_flood\011_15.0cm_1.jpg"
"train","shallow_flood","training_data\images\15cm.jpg","training_data\road_scene_classifier\train\shallow_flood\012_15cm.jpg"
"train","shallow_flood","training_data\images\15cm_1.jpg","training_data\road_scene_classifier\train\shallow_flood\013_15cm_1.jpg"
"train","shallow_flood","training_data\images\15cm_2.jpg","training_data\road_scene_classifier\train\shallow_flood\014_15cm_2.jpg"
"train","shallow_flood","training_data\images\2cm.jpg","training_data\road_scene_classifier\train\shallow_flood\015_2cm.jpg"
"train","shallow_flood","training_data\images\5.0cm.jpg","training_data\road_scene_classifier\train\shallow_flood\016_5.0cm.jpg"
"train","shallow_flood","training_data\images\5cm.jpg","training_data\road_scene_classifier\train\shallow_flood\017_5cm.jpg"
"train","shallow_flood","training_data\images\5cm_1.jpg","training_data\road_scene_classifier\train\shallow_flood\018_5cm_1.jpg"
"validation","shallow_flood","training_data\images\7.50cm.jpg","training_data\road_scene_classifier\validation\shallow_flood\019_7.50cm.jpg"
"validation","shallow_flood","training_data\images\7.5cm.jpg","training_data\road_scene_classifier\validation\shallow_flood\020_7.5cm.jpg"
"validation","shallow_flood","training_data\images\image_16.jpg","training_data\road_scene_classifier\validation\shallow_flood\021_image_16.jpg"
"test","shallow_flood","training_data\images\image_2.jpg","training_data\road_scene_classifier\test\shallow_flood\022_image_2.jpg"
"test","shallow_flood","training_data\images\image_408.jpg","training_data\road_scene_classifier\test\shallow_flood\023_image_408.jpg"
"test","shallow_flood","training_data\images\image_433.jpg","training_data\road_scene_classifier\test\shallow_flood\024_image_433.jpg"
"test","shallow_flood","training_data\images\image_439.jpg","training_data\road_scene_classifier\test\shallow_flood\025_image_439.jpg"
"test","shallow_flood","training_data\images\image_9.jpg","training_data\road_scene_classifier\test\shallow_flood\026_image_9.jpg"
"train","meaningful_flood","training_data\images\100.00cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\001_100.00cm.jpg"
"train","meaningful_flood","training_data\images\100.0cm.png","training_data\road_scene_classifier\train\meaningful_flood\002_100.0cm.png"
"train","meaningful_flood","training_data\images\100cm.png","training_data\road_scene_classifier\train\meaningful_flood\003_100cm.png"
"train","meaningful_flood","training_data\images\102.5cm.png","training_data\road_scene_classifier\train\meaningful_flood\004_102.5cm.png"
"train","meaningful_flood","training_data\images\105cm.png","training_data\road_scene_classifier\train\meaningful_flood\005_105cm.png"
"train","meaningful_flood","training_data\images\107cm.png","training_data\road_scene_classifier\train\meaningful_flood\006_107cm.png"
"train","meaningful_flood","training_data\images\115.5cm.png","training_data\road_scene_classifier\train\meaningful_flood\007_115.5cm.png"
"train","meaningful_flood","training_data\images\115cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\008_115cm.jpg"
"train","meaningful_flood","training_data\images\115cm.png","training_data\road_scene_classifier\train\meaningful_flood\009_115cm.png"
"train","meaningful_flood","training_data\images\120.0cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\010_120.0cm.jpg"
"train","meaningful_flood","training_data\images\120.0cm.png","training_data\road_scene_classifier\train\meaningful_flood\011_120.0cm.png"
"train","meaningful_flood","training_data\images\120cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\012_120cm.jpg"
"train","meaningful_flood","training_data\images\120cm.png","training_data\road_scene_classifier\train\meaningful_flood\013_120cm.png"
"train","meaningful_flood","training_data\images\125cm.png","training_data\road_scene_classifier\train\meaningful_flood\014_125cm.png"
"train","meaningful_flood","training_data\images\130cm.png","training_data\road_scene_classifier\train\meaningful_flood\015_130cm.png"
"train","meaningful_flood","training_data\images\140cm.png","training_data\road_scene_classifier\train\meaningful_flood\016_140cm.png"
"train","meaningful_flood","training_data\images\140cm_1.png","training_data\road_scene_classifier\train\meaningful_flood\017_140cm_1.png"
"train","meaningful_flood","training_data\images\145cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\018_145cm.jpg"
"train","meaningful_flood","training_data\images\15.01cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\019_15.01cm.jpg"
"train","meaningful_flood","training_data\images\15.01cm.png","training_data\road_scene_classifier\train\meaningful_flood\020_15.01cm.png"
"train","meaningful_flood","training_data\images\15.01cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\021_15.01cm_1.jpg"
"train","meaningful_flood","training_data\images\15.02cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\022_15.02cm.jpg"
"train","meaningful_flood","training_data\images\15.02cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\023_15.02cm_1.jpg"
"train","meaningful_flood","training_data\images\15.03cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\024_15.03cm.jpg"
"train","meaningful_flood","training_data\images\15.03cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\025_15.03cm_1.jpg"
"train","meaningful_flood","training_data\images\15.04cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\026_15.04cm.jpg"
"train","meaningful_flood","training_data\images\15.04cm.png","training_data\road_scene_classifier\train\meaningful_flood\027_15.04cm.png"
"train","meaningful_flood","training_data\images\15.05cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\028_15.05cm.jpg"
"train","meaningful_flood","training_data\images\15.05cm.png","training_data\road_scene_classifier\train\meaningful_flood\029_15.05cm.png"
"train","meaningful_flood","training_data\images\15.06cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\030_15.06cm.jpg"
"train","meaningful_flood","training_data\images\15.06cm.png","training_data\road_scene_classifier\train\meaningful_flood\031_15.06cm.png"
"train","meaningful_flood","training_data\images\15.07cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\032_15.07cm.jpg"
"train","meaningful_flood","training_data\images\15.07cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\033_15.07cm_1.jpg"
"train","meaningful_flood","training_data\images\15.08cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\034_15.08cm.jpg"
"train","meaningful_flood","training_data\images\15.08cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\035_15.08cm_1.jpg"
"train","meaningful_flood","training_data\images\15.09cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\036_15.09cm.jpg"
"train","meaningful_flood","training_data\images\15.09cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\037_15.09cm_1.jpg"
"train","meaningful_flood","training_data\images\15.10cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\038_15.10cm.jpg"
"train","meaningful_flood","training_data\images\15.10cm.png","training_data\road_scene_classifier\train\meaningful_flood\039_15.10cm.png"
"train","meaningful_flood","training_data\images\15.11cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\040_15.11cm.jpg"
"train","meaningful_flood","training_data\images\15.11cm.png","training_data\road_scene_classifier\train\meaningful_flood\041_15.11cm.png"
"train","meaningful_flood","training_data\images\15.12cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\042_15.12cm.jpg"
"train","meaningful_flood","training_data\images\15.12cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\043_15.12cm_1.jpg"
"train","meaningful_flood","training_data\images\15.13cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\044_15.13cm.jpg"
"train","meaningful_flood","training_data\images\15.13cm.png","training_data\road_scene_classifier\train\meaningful_flood\045_15.13cm.png"
"train","meaningful_flood","training_data\images\15.14cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\046_15.14cm.jpg"
"train","meaningful_flood","training_data\images\15.14cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\047_15.14cm_1.jpg"
"train","meaningful_flood","training_data\images\15.15cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\048_15.15cm.jpg"
"train","meaningful_flood","training_data\images\15.15cm.png","training_data\road_scene_classifier\train\meaningful_flood\049_15.15cm.png"
"train","meaningful_flood","training_data\images\15.16cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\050_15.16cm.jpg"
"train","meaningful_flood","training_data\images\15.17cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\051_15.17cm.jpg"
"train","meaningful_flood","training_data\images\15.18cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\052_15.18cm.jpg"
"train","meaningful_flood","training_data\images\15.19cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\053_15.19cm.jpg"
"train","meaningful_flood","training_data\images\15.1cm.png","training_data\road_scene_classifier\train\meaningful_flood\054_15.1cm.png"
"train","meaningful_flood","training_data\images\15.1cm_1.png","training_data\road_scene_classifier\train\meaningful_flood\055_15.1cm_1.png"
"train","meaningful_flood","training_data\images\15.20cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\056_15.20cm.jpg"
"train","meaningful_flood","training_data\images\15.21cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\057_15.21cm.jpg"
"train","meaningful_flood","training_data\images\15.22cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\058_15.22cm.jpg"
"train","meaningful_flood","training_data\images\15.23cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\059_15.23cm.jpg"
"train","meaningful_flood","training_data\images\15.2cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\060_15.2cm.jpg"
"train","meaningful_flood","training_data\images\150cm.png","training_data\road_scene_classifier\train\meaningful_flood\061_150cm.png"
"train","meaningful_flood","training_data\images\160.0cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\062_160.0cm.jpg"
"train","meaningful_flood","training_data\images\160cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\063_160cm.jpg"
"train","meaningful_flood","training_data\images\17.5cm.png","training_data\road_scene_classifier\train\meaningful_flood\064_17.5cm.png"
"train","meaningful_flood","training_data\images\17cm.png","training_data\road_scene_classifier\train\meaningful_flood\065_17cm.png"
"train","meaningful_flood","training_data\images\18cm.png","training_data\road_scene_classifier\train\meaningful_flood\066_18cm.png"
"train","meaningful_flood","training_data\images\20.00cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\067_20.00cm.jpg"
"train","meaningful_flood","training_data\images\20.00cm.png","training_data\road_scene_classifier\train\meaningful_flood\068_20.00cm.png"
"train","meaningful_flood","training_data\images\20.00cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\069_20.00cm_1.jpg"
"train","meaningful_flood","training_data\images\20.01cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\070_20.01cm.jpg"
"train","meaningful_flood","training_data\images\20.01cm.png","training_data\road_scene_classifier\train\meaningful_flood\071_20.01cm.png"
"train","meaningful_flood","training_data\images\20.01cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\072_20.01cm_1.jpg"
"train","meaningful_flood","training_data\images\20.02cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\073_20.02cm.jpg"
"train","meaningful_flood","training_data\images\20.02cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\074_20.02cm_1.jpg"
"train","meaningful_flood","training_data\images\20.02cm_2.jpg","training_data\road_scene_classifier\train\meaningful_flood\075_20.02cm_2.jpg"
"train","meaningful_flood","training_data\images\20.03cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\076_20.03cm.jpg"
"train","meaningful_flood","training_data\images\20.03cm.png","training_data\road_scene_classifier\train\meaningful_flood\077_20.03cm.png"
"train","meaningful_flood","training_data\images\20.03cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\078_20.03cm_1.jpg"
"train","meaningful_flood","training_data\images\20.04cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\079_20.04cm.jpg"
"train","meaningful_flood","training_data\images\20.04cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\080_20.04cm_1.jpg"
"train","meaningful_flood","training_data\images\20.04cm_2.jpg","training_data\road_scene_classifier\train\meaningful_flood\081_20.04cm_2.jpg"
"train","meaningful_flood","training_data\images\20.05cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\082_20.05cm.jpg"
"train","meaningful_flood","training_data\images\20.05cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\083_20.05cm_1.jpg"
"train","meaningful_flood","training_data\images\20.05cm_2.jpg","training_data\road_scene_classifier\train\meaningful_flood\084_20.05cm_2.jpg"
"train","meaningful_flood","training_data\images\20.06cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\085_20.06cm.jpg"
"train","meaningful_flood","training_data\images\20.06cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\086_20.06cm_1.jpg"
"train","meaningful_flood","training_data\images\20.06cm_2.jpg","training_data\road_scene_classifier\train\meaningful_flood\087_20.06cm_2.jpg"
"train","meaningful_flood","training_data\images\20.07cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\088_20.07cm.jpg"
"train","meaningful_flood","training_data\images\20.07cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\089_20.07cm_1.jpg"
"train","meaningful_flood","training_data\images\20.08cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\090_20.08cm.jpg"
"train","meaningful_flood","training_data\images\20.08cm.png","training_data\road_scene_classifier\train\meaningful_flood\091_20.08cm.png"
"train","meaningful_flood","training_data\images\20.09cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\092_20.09cm.jpg"
"train","meaningful_flood","training_data\images\20.09cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\093_20.09cm_1.jpg"
"train","meaningful_flood","training_data\images\20.0cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\094_20.0cm.jpg"
"train","meaningful_flood","training_data\images\20.0cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\095_20.0cm_1.jpg"
"train","meaningful_flood","training_data\images\20.0cm_2.jpg","training_data\road_scene_classifier\train\meaningful_flood\096_20.0cm_2.jpg"
"train","meaningful_flood","training_data\images\20.10cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\097_20.10cm.jpg"
"train","meaningful_flood","training_data\images\20.10cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\098_20.10cm_1.jpg"
"train","meaningful_flood","training_data\images\20.11cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\099_20.11cm.jpg"
"train","meaningful_flood","training_data\images\20.11cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\100_20.11cm_1.jpg"
"train","meaningful_flood","training_data\images\20.12cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\101_20.12cm.jpg"
"train","meaningful_flood","training_data\images\20.12cm.png","training_data\road_scene_classifier\train\meaningful_flood\102_20.12cm.png"
"train","meaningful_flood","training_data\images\20.13cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\103_20.13cm.jpg"
"train","meaningful_flood","training_data\images\20.13cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\104_20.13cm_1.jpg"
"train","meaningful_flood","training_data\images\20.14cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\105_20.14cm.jpg"
"train","meaningful_flood","training_data\images\20.14cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\106_20.14cm_1.jpg"
"train","meaningful_flood","training_data\images\20.15cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\107_20.15cm.jpg"
"train","meaningful_flood","training_data\images\20.15cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\108_20.15cm_1.jpg"
"train","meaningful_flood","training_data\images\20.16cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\109_20.16cm.jpg"
"train","meaningful_flood","training_data\images\20.16cm.png","training_data\road_scene_classifier\train\meaningful_flood\110_20.16cm.png"
"train","meaningful_flood","training_data\images\20.17cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\111_20.17cm.jpg"
"train","meaningful_flood","training_data\images\20.17cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\112_20.17cm_1.jpg"
"train","meaningful_flood","training_data\images\20.18cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\113_20.18cm.jpg"
"train","meaningful_flood","training_data\images\20.18cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\114_20.18cm_1.jpg"
"train","meaningful_flood","training_data\images\20.19cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\115_20.19cm.jpg"
"train","meaningful_flood","training_data\images\20.19cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\116_20.19cm_1.jpg"
"train","meaningful_flood","training_data\images\20.1cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\117_20.1cm.jpg"
"train","meaningful_flood","training_data\images\20.1cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\118_20.1cm_1.jpg"
"train","meaningful_flood","training_data\images\20.20cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\119_20.20cm.jpg"
"train","meaningful_flood","training_data\images\20.20cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\120_20.20cm_1.jpg"
"train","meaningful_flood","training_data\images\20.21cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\121_20.21cm.jpg"
"train","meaningful_flood","training_data\images\20.21cm.png","training_data\road_scene_classifier\train\meaningful_flood\122_20.21cm.png"
"train","meaningful_flood","training_data\images\20.22c.jpg","training_data\road_scene_classifier\train\meaningful_flood\123_20.22c.jpg"
"train","meaningful_flood","training_data\images\20.24cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\124_20.24cm.jpg"
"train","meaningful_flood","training_data\images\20.25cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\125_20.25cm.jpg"
"train","meaningful_flood","training_data\images\20.26cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\126_20.26cm.jpg"
"train","meaningful_flood","training_data\images\20.27cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\127_20.27cm.jpg"
"train","meaningful_flood","training_data\images\20.28cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\128_20.28cm.jpg"
"train","meaningful_flood","training_data\images\20.29cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\129_20.29cm.jpg"
"train","meaningful_flood","training_data\images\20.2cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\130_20.2cm.jpg"
"train","meaningful_flood","training_data\images\20.2cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\131_20.2cm_1.jpg"
"train","meaningful_flood","training_data\images\20.30cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\132_20.30cm.jpg"
"train","meaningful_flood","training_data\images\20.31cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\133_20.31cm.jpg"
"train","meaningful_flood","training_data\images\20.32cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\134_20.32cm.jpg"
"train","meaningful_flood","training_data\images\20.33cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\135_20.33cm.jpg"
"train","meaningful_flood","training_data\images\20.3cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\136_20.3cm.jpg"
"train","meaningful_flood","training_data\images\20cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\137_20cm.jpg"
"train","meaningful_flood","training_data\images\20cm_1.jpg","training_data\road_scene_classifier\train\meaningful_flood\138_20cm_1.jpg"
"train","meaningful_flood","training_data\images\20cm_2.jpg","training_data\road_scene_classifier\train\meaningful_flood\139_20cm_2.jpg"
"train","meaningful_flood","training_data\images\22.50cm.jpg","training_data\road_scene_classifier\train\meaningful_flood\140_22.50cm.jpg"
"validation","meaningful_flood","training_data\images\22.50cm.png","training_data\road_scene_classifier\validation\meaningful_flood\141_22.50cm.png"
"validation","meaningful_flood","training_data\images\22.50cm_1.jpg","training_data\road_scene_classifier\validation\meaningful_flood\142_22.50cm_1.jpg"
"validation","meaningful_flood","training_data\images\22.51cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\143_22.51cm.jpg"
"validation","meaningful_flood","training_data\images\22.52cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\144_22.52cm.jpg"
"validation","meaningful_flood","training_data\images\22.53cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\145_22.53cm.jpg"
"validation","meaningful_flood","training_data\images\22.54cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\146_22.54cm.jpg"
"validation","meaningful_flood","training_data\images\22.55cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\147_22.55cm.jpg"
"validation","meaningful_flood","training_data\images\22.56cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\148_22.56cm.jpg"
"validation","meaningful_flood","training_data\images\22.57cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\149_22.57cm.jpg"
"validation","meaningful_flood","training_data\images\22.5cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\150_22.5cm.jpg"
"validation","meaningful_flood","training_data\images\22.5cm.png","training_data\road_scene_classifier\validation\meaningful_flood\151_22.5cm.png"
"validation","meaningful_flood","training_data\images\22.5cm_1.png","training_data\road_scene_classifier\validation\meaningful_flood\152_22.5cm_1.png"
"validation","meaningful_flood","training_data\images\25.00cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\153_25.00cm.jpg"
"validation","meaningful_flood","training_data\images\25.00cm_1.jpg","training_data\road_scene_classifier\validation\meaningful_flood\154_25.00cm_1.jpg"
"validation","meaningful_flood","training_data\images\25.00cm_2.jpg","training_data\road_scene_classifier\validation\meaningful_flood\155_25.00cm_2.jpg"
"validation","meaningful_flood","training_data\images\25.01cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\156_25.01cm.jpg"
"validation","meaningful_flood","training_data\images\25.01cm.png","training_data\road_scene_classifier\validation\meaningful_flood\157_25.01cm.png"
"validation","meaningful_flood","training_data\images\25.01cm_1.jpg","training_data\road_scene_classifier\validation\meaningful_flood\158_25.01cm_1.jpg"
"validation","meaningful_flood","training_data\images\25.02cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\159_25.02cm.jpg"
"validation","meaningful_flood","training_data\images\25.02cm.png","training_data\road_scene_classifier\validation\meaningful_flood\160_25.02cm.png"
"validation","meaningful_flood","training_data\images\25.03cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\161_25.03cm.jpg"
"validation","meaningful_flood","training_data\images\25.03cm.png","training_data\road_scene_classifier\validation\meaningful_flood\162_25.03cm.png"
"validation","meaningful_flood","training_data\images\25.04cm.png","training_data\road_scene_classifier\validation\meaningful_flood\163_25.04cm.png"
"validation","meaningful_flood","training_data\images\25.05cm.jpg","training_data\road_scene_classifier\validation\meaningful_flood\164_25.05cm.jpg"
